Identification                     TEMP     
USAF   NCDC  Date     HrMn I Type  Temp   Q 
725030 14732 20121201 0000 4 FM-12    6.7 1 
725030 14732 20121201 0051 7 FM-15    5.6 5 
725030 14732 20121201 0151 7 FM-15    4.4 5 
725030 14732 20121201 0251 7 FM-15    3.9 5 
725030 14732 20121201 0300 4 FM-12    3.9 1 
725030 14732 20121201 0351 7 FM-15    4.4 5 
725030 14732 20121201 0451 7 FM-15    4.4 5 
725030 14732 20121201 0551 7 FM-15    3.9 5 
725030 14732 20121201 0600 4 FM-12    3.9 1 
725030 14732 20121201 0651 7 FM-15    3.9 5 
725030 14732 20121201 0751 7 FM-15    3.9 5 
725030 14732 20121201 0851 7 FM-15    3.9 5 
725030 14732 20121201 0900 4 FM-12    3.9 1 
725030 14732 20121201 0951 7 FM-15    3.3 5 
725030 14732 20121201 1051 7 FM-15    3.3 5 
725030 14732 20121201 1126 7 FM-16    4.0 5 
725030 14732 20121201 1151 7 FM-15    3.9 5 
725030 14732 20121201 1200 4 FM-12    3.9 1 
725030 14732 20121201 1251 7 FM-15    3.3 5 
725030 14732 20121201 1351 7 FM-15    3.3 5 
725030 14732 20121201 1448 7 FM-16    3.0 5 
725030 14732 20121201 1451 7 FM-15    3.3 5 
725030 14732 20121201 1500 4 FM-12    3.3 1 
725030 14732 20121201 1549 6 FM-16    4.0 5 
725030 14732 20121201 1551 7 FM-15    3.9 5 
725030 14732 20121201 1651 7 FM-15    4.4 5 
725030 14732 20121201 1751 7 FM-15    4.4 5 
725030 14732 20121201 1800 4 FM-12    4.4 1 
725030 14732 20121201 1851 7 FM-15    4.4 5 
725030 14732 20121201 1922 7 FM-16    4.0 5 
725030 14732 20121201 1951 7 FM-15    4.4 5 
725030 14732 20121201 2049 6 FM-16    4.0 5 
725030 14732 20121201 2051 7 FM-15    4.4 5 
725030 14732 20121201 2100 4 FM-12    4.4 1 
725030 14732 20121201 2151 7 FM-15    4.4 5 
725030 14732 20121201 2251 7 FM-15    5.0 5 
725030 14732 20121201 2351 7 FM-15    5.0 5 
