Date,Hour,Temp.Faren,Load.MW
1/31/2005,0,30,5186.4
1/31/2005,1,29,4921.8
1/31/2005,2,28,4746.4
1/31/2005,3,27,4647.3
1/31/2005,4,26,4630.3
1/31/2005,5,25,4718.9
1/31/2005,6,25,5141.5
1/31/2005,7,24,5810.1
1/31/2005,8,24,6290.0
1/31/2005,9,26,6627.2
1/31/2005,10,27,6861.5
1/31/2005,11,30,6898.4
1/31/2005,12,32,6935.0
1/31/2005,13,34,6896.5
1/31/2005,14,35,6884.3
1/31/2005,15,35,6852.2
1/31/2005,16,34,6878.6
1/31/2005,17,33,6971.0
1/31/2005,18,33,7232.7
1/31/2005,19,32,7057.0
1/31/2005,20,32,6841.9
1/31/2005,21,31,6569.9
1/31/2005,22,30,6265.2
1/31/2005,23,30,5841.9
2/1/2005,0,30,5271.6
2/1/2005,1,30,4941.5
2/1/2005,2,29,4746.3
2/1/2005,3,28,4643.3
2/1/2005,4,27,4605.1
2/1/2005,5,27,4684.4
2/1/2005,6,27,5110.2
2/1/2005,7,26,5806.8
2/1/2005,8,26,6315.1
2/1/2005,9,29,6576.2
2/1/2005,10,31,6809.0
2/1/2005,11,33,6820.1
2/1/2005,12,35,6820.2
2/1/2005,13,37,6797.0
2/1/2005,14,38,6739.3
2/1/2005,15,40,6718.9
2/1/2005,16,40,6743.3
2/1/2005,17,38,6909.4
2/1/2005,18,37,7103.1
2/1/2005,19,34,6934.5
2/1/2005,20,36,6740.3
2/1/2005,21,35,6454.1
2/1/2005,22,35,6171.9
2/1/2005,23,34,5736.2
2/2/2005,0,33,5240.8
2/2/2005,1,33,4840.1
2/2/2005,2,33,4634.7
2/2/2005,3,30,4577.7
2/2/2005,4,31,4537.5
2/2/2005,5,28,4590.0
2/2/2005,6,28,4986.6
2/2/2005,7,29,5769.0
2/2/2005,8,29,6192.6
2/2/2005,9,31,6508.2
2/2/2005,10,33,6713.9
2/2/2005,11,35,6753.2
2/2/2005,12,36,6769.0
2/2/2005,13,38,6754.9
2/2/2005,14,39,6744.7
2/2/2005,15,40,6706.0
2/2/2005,16,39,6752.0
2/2/2005,17,37,6870.7
2/2/2005,18,36,7120.3
2/2/2005,19,35,6903.4
2/2/2005,20,35,6718.3
2/2/2005,21,34,6499.2
2/2/2005,22,34,6163.1
2/2/2005,23,34,5697.1
2/3/2005,0,33,5210.5
2/3/2005,1,32,4845.7
2/3/2005,2,31,4633.1
2/3/2005,3,31,4545.0
2/3/2005,4,31,4515.8
2/3/2005,5,31,4565.5
2/3/2005,6,30,4957.4
2/3/2005,7,30,5656.7
2/3/2005,8,31,6185.6
2/3/2005,9,33,6463.0
2/3/2005,10,35,6666.9
2/3/2005,11,35,6781.6
2/3/2005,12,38,6763.7
2/3/2005,13,38,6737.7
2/3/2005,14,41,6696.5
2/3/2005,15,40,6715.3
2/3/2005,16,39,6840.5
2/3/2005,17,39,6931.3
2/3/2005,18,40,7111.0
2/3/2005,19,39,6899.3
2/3/2005,20,39,6642.4
2/3/2005,21,38,6372.7
2/3/2005,22,38,6083.8
2/3/2005,23,37,5643.2
2/4/2005,0,36,5106.3
2/4/2005,1,34,4757.3
2/4/2005,2,34,4573.6
2/4/2005,3,35,4468.3
2/4/2005,4,35,4414.0
2/4/2005,5,34,4514.9
2/4/2005,6,34,4891.1
2/4/2005,7,34,5658.3
2/4/2005,8,34,6197.4
2/4/2005,9,35,6471.4
2/4/2005,10,37,6712.8
2/4/2005,11,39,6755.7
2/4/2005,12,40,6790.8
2/4/2005,13,42,6719.8
2/4/2005,14,43,6660.7
2/4/2005,15,45,6590.0
2/4/2005,16,45,6596.5
2/4/2005,17,43,6640.8
2/4/2005,18,43,6887.9
2/4/2005,19,43,6616.9
2/4/2005,20,43,6405.4
2/4/2005,21,42,6158.2
2/4/2005,22,43,5877.2
2/4/2005,23,43,5528.2
2/5/2005,0,41,5082.9
2/5/2005,1,40,4748.6
2/5/2005,2,40,4557.3
2/5/2005,3,40,4390.3
2/5/2005,4,39,4305.0
2/5/2005,5,39,4340.3
2/5/2005,6,40,4471.0
2/5/2005,7,39,4625.4
2/5/2005,8,40,4904.6
2/5/2005,9,41,5218.9
2/5/2005,10,43,5482.1
2/5/2005,11,45,5594.6
2/5/2005,12,47,5305.3
2/5/2005,13,50,5253.6
2/5/2005,14,51,5216.5
2/5/2005,15,52,5164.9
2/5/2005,16,52,5160.3
2/5/2005,17,51,5242.8
2/5/2005,18,50,5962.6
2/5/2005,19,48,5978.9
2/5/2005,20,47,5822.4
2/5/2005,21,44,5634.7
2/5/2005,22,44,5515.8
2/5/2005,23,44,5275.9
2/6/2005,0,43,4949.6
2/6/2005,1,43,4660.7
2/6/2005,2,42,4430.9
2/6/2005,3,42,4287.3
2/6/2005,4,41,4238.1
2/6/2005,5,40,4221.5
2/6/2005,6,41,4312.7
2/6/2005,7,40,4332.9
2/6/2005,8,41,4515.0
2/6/2005,9,42,4817.7
2/6/2005,10,44,5073.9
2/6/2005,11,46,5260.3
2/6/2005,12,49,5370.6
2/6/2005,13,50,5363.3
2/6/2005,14,51,5337.9
2/6/2005,15,51,5306.0
2/6/2005,16,51,5306.9
2/6/2005,17,49,5431.8
2/6/2005,18,48,5844.6
2/6/2005,19,48,5879.5
2/6/2005,20,47,5756.7
2/6/2005,21,45,5656.8
2/6/2005,22,42,5462.5
2/6/2005,23,41,5188.1
2/7/2005,0,43,4774.6
2/7/2005,1,43,4495.6
2/7/2005,2,42,4319.6
2/7/2005,3,40,4224.2
2/7/2005,4,40,4191.4
2/7/2005,5,40,4273.7
2/7/2005,6,39,4738.8
2/7/2005,7,37,5352.3
2/7/2005,8,39,5942.9
2/7/2005,9,41,6234.0
2/7/2005,10,43,6422.2
2/7/2005,11,46,6467.5
2/7/2005,12,47,6517.4
2/7/2005,13,50,6465.0
2/7/2005,14,49,6456.8
2/7/2005,15,52,6439.4
2/7/2005,16,51,6454.2
2/7/2005,17,48,6544.6
2/7/2005,18,44,6901.3
2/7/2005,19,42,6666.4
2/7/2005,20,44,6481.3
2/7/2005,21,41,6179.5
2/7/2005,22,41,5874.5
2/7/2005,23,41,5430.2
2/8/2005,0,39,4885.0
2/8/2005,1,42,4540.2
2/8/2005,2,42,4339.8
2/8/2005,3,41,4196.8
2/8/2005,4,43,4218.6
2/8/2005,5,43,4307.3
2/8/2005,6,43,4747.5
2/8/2005,7,45,5397.2
2/8/2005,8,46,5980.1
2/8/2005,9,47,6262.5
2/8/2005,10,47,6479.9
2/8/2005,11,47,6570.3
2/8/2005,12,50,6559.1
2/8/2005,13,51,6549.8
2/8/2005,14,52,6507.0
2/8/2005,15,51,6464.0
2/8/2005,16,51,6465.3
2/8/2005,17,51,6656.4
2/8/2005,18,50,6897.6
2/8/2005,19,50,6663.2
2/8/2005,20,50,6419.6
2/8/2005,21,50,6130.9
2/8/2005,22,49,5829.7
2/8/2005,23,49,5379.5
2/9/2005,0,48,4937.0
2/9/2005,1,47,4516.5
2/9/2005,2,47,4320.4
2/9/2005,3,46,4204.1
2/9/2005,4,47,4168.7
2/9/2005,5,47,4233.9
2/9/2005,6,47,4672.8
2/9/2005,7,47,5312.0
